gen,nevals,avg,std,min,max
0,500,1.3786983348506865,0.1484718018878508,-0.15264525790926906,1.505147451231744
1,500,1.4029544078079323,0.08612455216870377,0.38130809660642323,1.5391017349099623
2,500,1.4143054906015031,0.045294921130075376,0.8946512062988458,1.5142774506676528
3,500,1.4108387223963972,0.08064931214424596,0.3735640810087404,1.5288369123704644
4,500,1.4088785946561648,0.07927406939882226,0.34420788838593314,1.6046398317489232
5,500,1.4087105074415438,0.07243713268314537,0.7164359262632924,1.5193585580128544
6,500,1.4104057293357453,0.08393187489095053,0.8719373778841607,1.5403101707294513
7,500,1.4019708104205975,0.12788312787835016,-0.15616175075661848,1.5693846195558727
8,500,1.420945466279509,0.061231086706470254,0.8739702263521412,1.5681893420173705
9,500,1.4148656816551672,0.09570180699600246,0.4079598904391865,1.5254733017419375
10,500,1.4227564994118382,0.09137685133620543,0.34440109121960893,1.5571957870753494
11,500,1.43579317118619,0.06539707885659984,0.8307528039121161,1.5486024952541098
12,500,1.430178990972126,0.09809514453446036,0.8126045532484618,1.5876831071235267
13,500,1.4386880379298879,0.08276977264578189,0.817093950585744,1.5726841210068208
14,500,1.4409810183329306,0.09232635864017902,0.36301136750821283,1.5472583847701993
15,500,1.4394335956343658,0.0865669031051732,0.8238238185767122,1.5714992304481323
16,500,1.4404340949711563,0.07824409153029792,0.8714764528900073,1.5696298962846011
17,500,1.4419260926232798,0.09248813406089498,0.3895779887453147,1.5645621319646366
18,500,1.4418956508643541,0.08786739679436578,0.8006531300697208,1.570685514913017
19,500,1.4343918768160056,0.11444234609577879,0.37446052893121695,1.570317722517808
20,500,1.4399887591077354,0.08863768414002651,0.7989558183984273,1.5757408063563487
21,500,1.437873418620942,0.09488493967506416,0.756559686070269,1.564457227539069
22,500,1.4431786201609458,0.07850069491232879,0.8081035069068365,1.5584482358928968
23,500,1.4413691291923019,0.08824582615028269,0.2304697464940591,1.5583140632634573
24,500,1.444728841635615,0.070023127764691,0.8228694900391622,1.558454041540984
25,500,1.4369134443135758,0.09663344452345403,0.8032457392709691,1.5700374054310582
26,500,1.4400003398505745,0.08694889920665935,0.832906624905605,1.5711004976922525
27,500,1.4369989813380326,0.09760396021638892,0.39011071803776687,1.603988769529963
28,500,1.4473910930361509,0.06467637640964868,0.782412985000491,1.5735766865897174
