Instances 0: (2020, 7, 28)
-0.5959009528160095 -0.8104373216629028 -0.7056586742401123 -0.734613299369812 -0.5527840852737427
-0.5284196734428406 -0.8295618891716003 -0.7432664036750793 -0.7569353580474854 -0.5594701766967773
-0.5351849794387817 -0.8276712894439697 -0.6827102303504944 -0.7412378787994385 -0.6379990577697754
-0.5349488854408264 -0.8596928715705872 -0.5813956260681152 -0.8037530183792114 -0.7852548956871033
-0.45173680782318115 -0.85175621509552 -0.6599640250205994 -0.7982288599014282 -0.8086225986480713
-0.5050002932548523 -0.8346817493438721 -0.7877547740936279 -0.780775785446167 -0.827502429485321
-0.5565139055252075 -0.8263546228408813 -0.7681611776351929 -0.765572190284729 -0.8293290734291077
-0.689207136631012 -0.8565551042556763 -0.7164372205734253 -0.7679102420806885 -0.8125391006469727
-0.7126901745796204 -0.8440017700195312 -0.6794693470001221 -0.7105932235717773 -0.7983424663543701
-0.8360072374343872 -0.8548296689987183 -0.6435392498970032 -0.7022457122802734 -0.8291499614715576
-0.8183600902557373 -0.8477325439453125 -0.7457455396652222 -0.5576659440994263 -0.8339915871620178
-0.8148666024208069 -0.837636411190033 -0.6193198561668396 -0.35288166999816895 -0.8510273694992065
-0.8876527547836304 -0.8336805105209351 -0.4719555675983429 -0.6966986656188965 -0.8208733201026917
-0.7230576872825623 -0.8285927772521973 -0.584913432598114 -0.3589456379413605 -0.7934383749961853
-0.6699327230453491 -0.8369619846343994 -0.6784008741378784 -0.3907613456249237 -0.7564195394515991
-0.7964576482772827 -0.8031308054924011 -0.2794496417045593 -0.5242558121681213 -0.6647770404815674
-0.8315569162368774 -0.8010979294776917 0.004573063924908638 -0.681298017501831 -0.7848498225212097
-0.748340368270874 -0.8085720539093018 -0.46067821979522705 -0.24251055717468262 -0.7608314752578735
-0.6926684379577637 -0.8039978742599487 -0.2024679332971573 -0.6391284465789795 -0.7651996612548828
-0.5790292620658875 -0.7934314608573914 -0.20521937310695648 -0.08158373087644577 -0.7199636697769165
-0.39311251044273376 -0.8126083612442017 -0.15178988873958588 -0.061850689351558685 -0.7286735773086548
-0.3844934403896332 -0.8151943683624268 -0.06834571808576584 -0.31854575872421265 -0.6803811192512512
-0.5074625611305237 -0.7753676772117615 -0.05779871717095375 -0.21599358320236206 -0.6346936225891113
-0.4112221896648407 -0.7637453675270081 0.34566739201545715 -0.10264308005571365 -0.6282457113265991
-0.30318644642829895 -0.7885386943817139 0.5510836839675903 0.17535153031349182 -0.6568759083747864
0.008712450973689556 -0.7723850607872009 0.11683836579322815 0.33508390188217163 -0.6770204305648804
-0.2930464744567871 -0.7916179299354553 0.3506559133529663 -0.02552856132388115 -0.7133780717849731
0.16365975141525269 -0.7789493799209595 0.30003342032432556 0.3288331925868988 -0.586481511592865
-0.43197309970855713 -0.748451828956604 -0.11567392200231552 -0.20366454124450684 -0.6403608322143555
-0.3772643506526947 -0.7734611630439758 0.4099474847316742 0.33221253752708435 -0.6634658575057983
-0.35718926787376404 -0.7805151343345642 0.1345553994178772 0.046761903911828995 -0.6547534465789795
-0.4018532335758209 -0.7709027528762817 0.07094253599643707 0.1138947531580925 -0.6685318946838379
0.10833416879177094 -0.777984619140625 0.14412938058376312 0.47531235218048096 -0.6483055353164673
0.25375625491142273 -0.7481011152267456 -0.07599066197872162 0.30696985125541687 -0.5668431520462036
-0.40021514892578125 -0.7676149606704712 -0.0918889120221138 -0.04418683052062988 -0.6514130234718323
-0.5320619940757751 -0.7529425621032715 -0.3016011118888855 -0.007982832379639149 -0.7073231935501099
-0.36400532722473145 -0.7704108953475952 0.5433703660964966 0.44260746240615845 -0.6631524562835693
-0.18699435889720917 -0.6885350942611694 -0.45318883657455444 0.4574401080608368 -0.5031941533088684
-0.2660369873046875 -0.7359505891799927 0.4566783905029297 -0.24910160899162292 -0.6136308312416077
-0.4734560251235962 -0.7135347127914429 0.42645037174224854 0.07084652781486511 -0.6090817451477051
-0.436379075050354 -0.6761271953582764 0.4210704267024994 0.03126363456249237 -0.5543149709701538
-0.3302317261695862 -0.6710025072097778 -0.02283889800310135 -0.15392249822616577 -0.5384689569473267
-0.2994559705257416 -0.6627286672592163 0.20543412864208221 -0.15749910473823547 -0.566759467124939
