time;heat(KW)
2017-05-10 17:00:00;465.53
2017-05-10 18:00:00;460.37
2017-05-10 19:00:00;484.42
2017-05-10 20:00:00;487.86
2017-05-10 21:00:00;496.45
2017-05-10 22:00:00;491.29
2017-05-10 23:00:00;478.41
2017-05-11 00:00:00;509.33
2017-05-11 01:00:00;523.07
2017-05-11 02:00:00;520.50
2017-05-11 03:00:00;519.64
2017-05-11 04:00:00;564.30
2017-05-11 05:00:00;604.67
2017-05-11 06:00:00;590.07
2017-05-11 07:00:00;586.63
2017-05-11 08:00:00;519.64
2017-05-11 09:00:00;463.81
2017-05-11 10:00:00;487.00
2017-05-11 11:00:00;519.64
2017-05-11 12:00:00;454.36
2017-05-11 13:00:00;456.94
2017-05-11 14:00:00;496.45
2017-05-11 15:00:00;438.90
2017-05-11 16:00:00;469.82
2017-05-11 17:00:00;407.12
2017-05-11 18:00:00;416.57
2017-05-11 19:00:00;414.85
2017-05-11 20:00:00;426.88
2017-05-11 21:00:00;435.47
2017-05-11 22:00:00;426.88
2017-05-11 23:00:00;450.07
2017-05-12 00:00:00;422.58
2017-05-12 01:00:00;462.95
2017-05-12 02:00:00;461.23
2017-05-12 03:00:00;468.10
2017-05-12 04:00:00;474.98
2017-05-12 05:00:00;497.31
2017-05-12 06:00:00;553.14
2017-05-12 07:00:00;541.97
2017-05-12 08:00:00;462.95
2017-05-12 09:00:00;441.48
2017-05-12 10:00:00;433.75
2017-05-12 11:00:00;452.64
2017-05-12 12:00:00;416.57
2017-05-12 13:00:00;385.65
2017-05-12 14:00:00;394.24
2017-05-12 15:00:00;456.08
2017-05-12 16:00:00;419.15
2017-05-12 17:00:00;395.96
2017-05-12 18:00:00;398.53
2017-05-12 19:00:00;405.40
2017-05-12 20:00:00;432.03
2017-05-12 21:00:00;425.16
2017-05-12 22:00:00;421.72
2017-05-12 23:00:00;446.63
2017-05-13 00:00:00;451.78
2017-05-13 01:00:00;444.91
2017-05-13 02:00:00;461.23
2017-05-13 03:00:00;458.66
2017-05-13 04:00:00;476.69
2017-05-13 05:00:00;501.60
2017-05-13 06:00:00;481.85
2017-05-13 07:00:00;458.66
2017-05-13 08:00:00;456.94
2017-05-13 09:00:00;437.18
2017-05-13 10:00:00;415.71
2017-05-13 11:00:00;403.69
2017-05-13 12:00:00;407.98
2017-05-13 13:00:00;404.54
2017-05-13 14:00:00;397.67
2017-05-13 15:00:00;413.13
2017-05-13 16:00:00;420.86
2017-05-13 17:00:00;430.31
2017-05-13 18:00:00;437.18
2017-05-13 19:00:00;456.08
2017-05-13 20:00:00;498.17
2017-05-13 21:00:00;496.45
2017-05-13 22:00:00;499.88
2017-05-13 23:00:00;496.45
2017-05-14 00:00:00;487.86
2017-05-14 01:00:00;499.88
2017-05-14 02:00:00;508.47
2017-05-14 03:00:00;429.45
2017-05-14 04:00:00;561.72
2017-05-14 05:00:00;596.08
2017-05-14 06:00:00;517.92
2017-05-14 07:00:00;570.31
2017-05-14 08:00:00;517.92
2017-05-14 09:00:00;468.96
2017-05-14 10:00:00;454.36
2017-05-14 11:00:00;436.32
2017-05-14 12:00:00;417.43
2017-05-14 13:00:00;412.27
2017-05-14 14:00:00;417.43
2017-05-14 15:00:00;414.85
2017-05-14 16:00:00;432.03
2017-05-14 17:00:00;431.17
2017-05-14 18:00:00;490.44
2017-05-14 19:00:00;472.40
2017-05-14 20:00:00;481.85
2017-05-14 21:00:00;397.67
2017-05-14 22:00:00;490.44
2017-05-14 23:00:00;488.72
2017-05-15 00:00:00;399.39
2017-05-15 01:00:00;502.46
2017-05-15 02:00:00;499.88
2017-05-15 03:00:00;532.52
2017-05-15 04:00:00;614.98
2017-05-15 05:00:00;639.89
2017-05-15 06:00:00;614.12
2017-05-15 07:00:00;566.02
2017-05-15 08:00:00;497.31
2017-05-15 09:00:00;450.07
2017-05-15 10:00:00;448.35
2017-05-15 11:00:00;428.59
2017-05-15 12:00:00;450.07
2017-05-15 13:00:00;426.02
2017-05-15 14:00:00;456.94
2017-05-15 15:00:00;461.23
2017-05-15 16:00:00;461.23
2017-05-15 17:00:00;475.83
2017-05-15 18:00:00;496.45
2017-05-15 19:00:00;520.50
2017-05-15 20:00:00;530.80
2017-05-15 21:00:00;496.45
2017-05-15 22:00:00;487.86
2017-05-15 23:00:00;499.88
2017-05-16 00:00:00;519.64
2017-05-16 01:00:00;541.11
2017-05-16 02:00:00;570.31
2017-05-16 03:00:00;643.32
2017-05-16 04:00:00;679.39
2017-05-16 05:00:00;693.14
2017-05-16 06:00:00;750.68
2017-05-16 07:00:00;696.57
2017-05-16 08:00:00;499.02
2017-05-16 09:00:00;566.02
2017-05-16 10:00:00;563.44
2017-05-16 11:00:00;531.66
2017-05-16 12:00:00;519.64
2017-05-16 13:00:00;533.38
2017-05-16 14:00:00;572.03
2017-05-16 15:00:00;567.74
2017-05-16 16:00:00;553.99
2017-05-16 17:00:00;519.64
2017-05-16 18:00:00;510.19
2017-05-16 19:00:00;543.69
2017-05-16 20:00:00;529.95
2017-05-16 21:00:00;535.96
2017-05-16 22:00:00;517.06
2017-05-16 23:00:00;514.48
2017-05-17 00:00:00;522.21
2017-05-17 01:00:00;535.10
2017-05-17 02:00:00;557.43
2017-05-17 03:00:00;582.34
2017-05-17 04:00:00;667.37
2017-05-17 05:00:00;719.76
2017-05-17 06:00:00;748.11
2017-05-17 07:00:00;700.87
2017-05-17 08:00:00;616.69
2017-05-17 09:00:00;534.24
2017-05-17 10:00:00;499.02
2017-05-17 11:00:00;559.15
2017-05-17 12:00:00;487.00
2017-05-17 13:00:00;514.48
2017-05-17 14:00:00;535.10
2017-05-17 15:00:00;507.61
2017-05-17 16:00:00;459.51
2017-05-17 17:00:00;456.08
2017-05-17 18:00:00;450.07
2017-05-17 19:00:00;445.77
2017-05-17 20:00:00;446.63
2017-05-17 21:00:00;450.93
2017-05-17 22:00:00;439.76
2017-05-17 23:00:00;429.45
2017-05-18 00:00:00;438.90
2017-05-18 01:00:00;447.49
2017-05-18 02:00:00;483.56
2017-05-18 03:00:00;491.29
2017-05-18 04:00:00;508.47
2017-05-18 05:00:00;541.97
2017-05-18 06:00:00;575.47
2017-05-18 07:00:00;578.04
2017-05-18 08:00:00;547.98
2017-05-18 09:00:00;541.11
2017-05-18 10:00:00;541.97
2017-05-18 11:00:00;566.88
2017-05-18 12:00:00;571.17
2017-05-18 13:00:00;581.48
2017-05-18 14:00:00;547.98
2017-05-18 15:00:00;522.21
2017-05-18 16:00:00;541.11
2017-05-18 17:00:00;541.97
2017-05-18 18:00:00;527.37
2017-05-18 19:00:00;538.53
2017-05-18 20:00:00;558.29
2017-05-18 21:00:00;554.85
2017-05-18 22:00:00;545.41
2017-05-18 23:00:00;553.99
2017-05-19 00:00:00;576.33
2017-05-19 01:00:00;570.31
2017-05-19 02:00:00;599.52
2017-05-19 03:00:00;587.49
2017-05-19 04:00:00;706.88
2017-05-19 05:00:00;760.13
2017-05-19 06:00:00;630.44
2017-05-19 07:00:00;680.25
2017-05-19 08:00:00;633.01
2017-05-19 09:00:00;542.83
2017-05-19 10:00:00;529.95
2017-05-19 11:00:00;531.66
2017-05-19 12:00:00;432.03
2017-05-19 13:00:00;534.24
2017-05-19 14:00:00;584.06
2017-05-19 15:00:00;551.42
2017-05-19 16:00:00;534.24
2017-05-19 17:00:00;526.51
2017-05-19 18:00:00;530.80
2017-05-19 19:00:00;548.84
2017-05-19 20:00:00;541.11
2017-05-19 21:00:00;559.15
2017-05-19 22:00:00;529.95
2017-05-19 23:00:00;528.23
2017-05-20 00:00:00;532.52
2017-05-20 01:00:00;539.39
2017-05-20 02:00:00;560.01
2017-05-20 03:00:00;557.43
2017-05-20 04:00:00;590.93
2017-05-20 05:00:00;632.15
2017-05-20 06:00:00;654.49
2017-05-20 07:00:00;628.72
2017-05-20 08:00:00;599.52
2017-05-20 09:00:00;541.11
2017-05-20 10:00:00;530.80
2017-05-20 11:00:00;517.92
2017-05-20 12:00:00;507.61
2017-05-20 13:00:00;504.18
2017-05-20 14:00:00;500.74
2017-05-20 15:00:00;493.87
2017-05-20 16:00:00;487.00
2017-05-20 17:00:00;493.87
2017-05-20 18:00:00;493.01
2017-05-20 19:00:00;513.63
2017-05-20 20:00:00;518.78
2017-05-20 21:00:00;527.37
2017-05-20 22:00:00;513.63
2017-05-20 23:00:00;505.90
2017-05-21 00:00:00;498.17
2017-05-21 01:00:00;515.34
2017-05-21 02:00:00;516.20
2017-05-21 03:00:00;523.93
2017-05-21 04:00:00;527.37
2017-05-21 05:00:00;540.25
2017-05-21 06:00:00;558.29
2017-05-21 07:00:00;578.90
2017-05-21 08:00:00;578.04
2017-05-21 09:00:00;502.46
2017-05-21 10:00:00;487.00
2017-05-21 11:00:00;479.27
2017-05-21 12:00:00;389.08
2017-05-21 13:00:00;487.00
2017-05-21 14:00:00;487.00
2017-05-21 15:00:00;394.24
2017-05-21 16:00:00;487.86
2017-05-21 17:00:00;475.83
2017-05-21 18:00:00;474.98
2017-05-21 19:00:00;480.13
2017-05-21 20:00:00;484.42
