date;hour;GC(KW);GG(KW);heat(KW)
28-Sep-10;19;251.694;0.061;217.305
28-Sep-10;20;226.262;0.043;216.875
28-Sep-10;21;202.220;0.080;234.910
28-Sep-10;22;181.452;0.045;220.310
28-Sep-10;23;146.023;0.051;229.330
29-Sep-10;0;118.072;0.044;223.315
29-Sep-10;1;105.758;0.049;221.170
29-Sep-10;2;99.799;0.042;218.590
29-Sep-10;3;103.158;0.038;228.900
29-Sep-10;4;100.399;0.025;234.480
29-Sep-10;5;119.711;0.582;240.495
29-Sep-10;6;149.590;33.263;239.635
29-Sep-10;7;170.690;108.751;249.510
29-Sep-10;8;174.806;196.539;243.500
29-Sep-10;9;167.084;257.834;224.605
29-Sep-10;10;167.906;287.996;210.005
29-Sep-10;11;162.429;314.939;207.425
29-Sep-10;12;173.713;313.720;206.135
29-Sep-10;13;164.995;288.303;209.575
29-Sep-10;14;151.634;232.658;212.580
29-Sep-10;15;158.212;130.190;170.920
29-Sep-10;16;207.675;40.437;211.290
29-Sep-10;17;275.247;4.665;215.585
29-Sep-10;18;332.675;0.042;213.870
29-Sep-10;19;302.712;0.070;219.880
29-Sep-10;20;263.204;0.057;217.735
29-Sep-10;21;236.206;0.026;217.735
29-Sep-10;22;216.281;0.038;209.145
29-Sep-10;23;167.907;0.039;208.715
30-Sep-10;0;134.441;0.044;206.995
30-Sep-10;1;123.692;0.048;218.160
30-Sep-10;2;114.040;0.055;228.900
30-Sep-10;3;110.469;0.006;232.335
30-Sep-10;4;113.892;0.030;222.455
30-Sep-10;5;144.456;0.611;231.475
30-Sep-10;6;182.145;39.200;232.765
30-Sep-10;7;190.156;134.640;228.470
30-Sep-10;8;187.784;234.111;223.745
30-Sep-10;9;168.514;298.963;221.600
30-Sep-10;10;156.678;325.462;201.845
30-Sep-10;11;157.617;352.450;198.835
30-Sep-10;12;163.625;368.152;196.260
30-Sep-10;13;152.393;344.531;197.980
30-Sep-10;14;137.230;280.197;199.695
30-Sep-10;15;147.075;183.174;208.715
30-Sep-10;16;171.737;75.596;209.575
30-Sep-10;17;233.460;8.492;205.710
30-Sep-10;18;324.800;0.053;201.845
30-Sep-10;19;309.372;0.055;213.010
30-Sep-10;20;282.388;0.043;209.145
30-Sep-10;21;248.565;0.072;197.550
30-Sep-10;22;214.816;0.057;200.125
30-Sep-10;23;178.765;0.046;189.820
